               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.029621,            0.061873,           0.0061752,             0.77486,             0.78955,             0.82786,             0.52823,            0.030568,            0.057449,            0.010193,            0.002872,            0.002872,            0.002872
                  38,            0.029453,            0.061575,           0.0062927,             0.82158,             0.75863,             0.82577,             0.52388,            0.030096,            0.056521,            0.010194,            0.002674,            0.002674,            0.002674
                  39,             0.02916,            0.060158,           0.0058924,              0.7907,              0.7676,             0.81187,             0.50758,             0.02996,            0.056164,            0.010307,            0.002476,            0.002476,            0.002476
                  40,            0.028517,            0.059284,            0.005637,             0.79578,             0.77881,             0.81754,              0.5263,            0.029856,            0.056433,            0.010442,            0.002278,            0.002278,            0.002278
                  41,            0.028392,            0.058527,           0.0055288,             0.81167,             0.76943,             0.82419,              0.5279,            0.029803,            0.056736,            0.010037,             0.00208,             0.00208,             0.00208
                  42,            0.028252,            0.056898,           0.0057047,             0.75516,             0.78752,             0.81965,             0.52576,            0.029485,            0.056328,            0.010215,            0.001882,            0.001882,            0.001882
                  43,            0.027945,            0.057907,           0.0054713,             0.77981,             0.79241,             0.82322,             0.52404,            0.029511,            0.056641,           0.0099989,            0.001684,            0.001684,            0.001684
                  44,            0.027507,            0.057487,           0.0056809,             0.78985,             0.79423,             0.82766,              0.5276,            0.029325,            0.056937,             0.01008,            0.001486,            0.001486,            0.001486
                  45,            0.027392,            0.058141,           0.0050454,             0.78702,             0.79564,             0.82995,             0.53068,            0.028967,            0.056067,           0.0098026,            0.001288,            0.001288,            0.001288
                  46,            0.027322,            0.058999,           0.0055367,             0.79612,             0.77552,             0.82979,             0.53651,            0.028889,            0.056287,           0.0099358,             0.00109,             0.00109,             0.00109
                  47,            0.027056,            0.057024,           0.0050275,              0.7761,             0.78906,             0.82226,             0.52841,            0.028931,            0.056473,            0.010076,            0.000892,            0.000892,            0.000892
                  48,            0.026517,              0.0549,            0.005267,             0.76316,             0.79662,              0.8183,             0.53037,             0.02888,            0.056265,            0.010152,            0.000694,            0.000694,            0.000694
                  49,            0.027359,            0.056298,           0.0053735,               0.771,             0.79182,             0.81971,             0.53252,            0.028907,            0.056376,            0.010095,            0.000496,            0.000496,            0.000496
